reaction_id,flux,absolute_flux
GHMT2r,0.9783188951027474,0.9783188951027474
ASPK,0.9375766740107302,0.9375766740107302
ASAD,-0.9375766740107301,0.9375766740107301
RPE,0.8899957028434344,0.8899957028434344
BIOMASS_Ec_iML1515_core_75p37M,0.8769972144269725,0.8769972144269725
MTHFC,0.8667530099652382,0.8667530099652382
MTHFD,0.8667530099652382,0.8667530099652382
PItex,0.8459567750194773,0.8459567750194773
PIt2rpp,0.8459567750194773,0.8459567750194773
EX_pi_e,-0.8459567750194773,0.8459567750194773
ACLS,0.7668174233868683,0.7668174233868683
KARA1,-0.7668174233868683,0.7668174233868683
DHAD1,0.7668174233868682,0.7668174233868682
ADK3,-0.6928400773583037,0.6928400773583037
HSDy,-0.612255434316259,0.612255434316259
TALA,0.6119224317254968,0.6119224317254968
TKT1,0.6119224317254968,0.6119224317254968
CBMKr,0.5495150535961535,0.5495150535961535
PTAr,-0.5105755002783812,0.5105755002783812
ACKr,0.5105755002783812,0.5105755002783812
ALATA_L,-0.5102755672310475,0.5102755672310475
HSK,0.47727591604658925,0.47727591604658925
THRS,0.47727591604658925,0.47727591604658925
AICART,0.4757990527374879,0.4757990527374879
IMPC,-0.4757990527374879,0.4757990527374879
HCO3E,0.4609707838359565,0.4609707838359565
IPPMIb,-0.39511443201299845,0.39511443201299845
IPPMIa,-0.39511443201299845,0.39511443201299845
IPPS,0.3951144320129984,0.3951144320129984
OMCDC,0.3951144320129984,0.3951144320129984
IPMD,0.3951144320129984,0.3951144320129984
LEUTAi,0.39511443201299834,0.39511443201299834
GLUPRT,0.3929096610159227,0.3929096610159227
PRAGSr,0.3929096610159226,0.3929096610159226
PRAIS,0.3929096610159225,0.3929096610159225
PRFGS,0.39290966101592245,0.39290966101592245
PRASCSi,0.39271409063710533,0.39271409063710533
ADSL2r,0.39271409063710533,0.39271409063710533
AIRC2,0.3927140906371053,0.3927140906371053
AIRC3,-0.3927140906371053,0.3927140906371053
GARFT,0.3907583868489331,0.3907583868489331
NDPK2,0.37297200634314626,0.37297200634314626
VALTA,-0.3711118952513465,0.3711118952513465
DHQTi,0.33424030136519345,0.33424030136519345
DHQS,0.33424030136519345,0.33424030136519345
SHK3Dr,0.3342403013651934,0.3342403013651934
PSCVT,0.3342403013651934,0.3342403013651934
SHKK,0.3342403013651934,0.3342403013651934
DDPA,0.3342403013651934,0.3342403013651934
CHORS,0.33424030136519334,0.33424030136519334
UMPK,0.33153914994475836,0.33153914994475836
THDPS,0.325321239694471,0.325321239694471
SDPDS,0.325321239694471,0.325321239694471
DHDPRy,0.325321239694471,0.325321239694471
DAPE,0.325321239694471,0.325321239694471
DHDPS,0.325321239694471,0.325321239694471
SDPTA,-0.32532123969447097,0.32532123969447097
HACD4,0.312105768670271,0.312105768670271
HACD5,0.312105768670271,0.312105768670271
ACACT3r,0.312105768670271,0.312105768670271
ACACT5r,0.312105768670271,0.312105768670271
HACD3,0.312105768670271,0.312105768670271
HACD2,0.312105768670271,0.312105768670271
ACACT4r,0.312105768670271,0.312105768670271
ACOAD1fr,0.31210576867027096,0.31210576867027096
ACOAD2f,-0.31210576867027096,0.31210576867027096
ACOAD3f,-0.31210576867027096,0.31210576867027096
ACOAD5f,-0.31210576867027096,0.31210576867027096
ECOAH3,0.31210576867027096,0.31210576867027096
ACACT1r,0.31210576867027096,0.31210576867027096
ACOAD4f,-0.31210576867027096,0.31210576867027096
ACACT2r,0.31210576867027096,0.31210576867027096
ECOAH5,0.31210576867027096,0.31210576867027096
ECOAH2,0.31210576867027096,0.31210576867027096
ECOAH4,0.31210576867027096,0.31210576867027096
HACD1,0.3121057686702709,0.3121057686702709
ECOAH1,0.3121057686702709,0.3121057686702709
DAPDC,0.3009512410999743,0.3009512410999743
DHORDfum,0.29010629354637046,0.29010629354637046
ORPT,-0.29010629354637046,0.29010629354637046
OMPDC,0.29010629354637046,0.29010629354637046
DHORTS,-0.2901062935463704,0.2901062935463704
ASPCT,0.2901062935463704,0.2901062935463704
CHORM,0.2836068671902521,0.2836068671902521
TKT2,0.2780732711179378,0.2780732711179378
ADSS,0.26248877426684425,0.26248877426684425
ADSL1r,0.26248877426684425,0.26248877426684425
ARGSL,0.2594087600497831,0.2594087600497831
ARGSS,0.2594087600497831,0.2594087600497831
OCBT,0.2594087600497831,0.2594087600497831
AGPR,-0.259408760049783,0.259408760049783
ACOTA,-0.259408760049783,0.259408760049783
ACGK,0.259408760049783,0.259408760049783
ACODA,0.259408760049783,0.259408760049783
ACGS,0.259408760049783,0.259408760049783
ILETA,-0.2547931237102539,0.2547931237102539
DHAD2,0.2547931237102539,0.2547931237102539
KARA2,0.25479312371025387,0.25479312371025387
ACHBS,0.25479312371025387,0.25479312371025387
THRD_L,0.25479312371025387,0.25479312371025387
ECOAH6,0.24385433745470628,0.24385433745470628
ACOAD6f,-0.24385433745470625,0.24385433745470625
HACD7,0.24385433745470625,0.24385433745470625
HACD6,0.24385433745470625,0.24385433745470625
ACACT6r,0.24385433745470625,0.24385433745470625
ECOAH7,0.24385433745470625,0.24385433745470625
ACACT7r,0.24385433745470625,0.24385433745470625
